Team,nickname,abbrev,conference,location,home_venue,season
Holy Cross,Crusaders,HC,Patriot,"Worcester, MA",Hart Center,2017
Houston,Cougars,U of H,AAC,"Houston, TX",Fertitta Center,2017
Houston Christian,Huskies,HCU,Southland,"Houston, TX",Sharp Gymnasium,2017
Howard,Bison,HWRD,MEAC,"Washington, DC",Burr Gymnasium,2017
Idaho,Vandals,IDAHO,Big Sky,"Moscow, ID",ICCU Arena,2017
Idaho State,Bengals,IDHST,Big Sky,"Pocatello, ID",Holt Arena,2017
Illinois,Fighting Illini,ILL,Big Ten,"Champaign, IL",State Farm Center,2017
Illinois State,Redbirds,ILLST,MVC,"Normal, IL",CEFCU Arena,2017
Illinois-Chicago,Flames,UIC,Horizon,"Chicago, IL",Credit Union 1 Arena,2017
Incarnate Word,Cardinals,UIW,Southland,"San Antonio, TX",Alice P. McDermott Convocation Center,2017
Indiana,Hoosiers,IU,Big Ten,"Bloomington, IN",Simon Skjodt Assembly Hall,2017
Indiana State,Sycamores,INDST,MVC,"Terre Haute, IN",Hulman Center,2017
Iona,Gaels,IONA,MAAC,"New Rochelle, NY",Hynes Athletics Center,2017
Iowa,Hawkeyes,IOWA,Big Ten,"Iowa City, IA",Carver-Hawkeye Arena,2017
Iowa State,Cyclones,IWAST,Big 12,"Ames, IA",James H. Hilton Coliseum,2017
IUPUI,Jaguars,IUPUI,Summit,"Indianapolis, IN",Indiana Farmers Coliseum,2017
Jackson State,Tigers,JKSN,SWAC,"Jackson, MS",Lee E. Williams Athletic and Assembly Center,2017
Jacksonville,Dolphins,JAC,A-Sun,"Jacksonville, FL",Swisher Gymnasium,2017
Jacksonville State,Gamecocks,JKSNV,OVC,"Jacksonville, AL",Pete Mathews Coliseum,2017
James Madison,Dukes,JMU,CAA,"Harrisonburg, VA",Atlantic Union Bank Center,2017
Kansas,Jayhawks,KU,Big 12,"Lawrence, KS",Phog Allen Fieldhouse,2017
Kansas State,Wildcats,KSU,Big 12,"Manhattan, KS",Bramlage Coliseum,2017
Kennesaw State,Owls,KENN,A-Sun,"Kennesaw, GA",KSU Convocation Center,2017
Kent State,Golden Flashes,KENT,MAC,"Kent, OH",M.A.C. Center,2017
Kentucky,Wildcats,UK,SEC,"Lexington, KY",Rupp Arena,2017
La Salle,Explorers,LASAL,A-10,"Philadelphia, PA",Tom Gola Arena,2017
Lafayette,Leopards,LAFAY,Patriot,"Easton, PA",Kirby Sports Center,2017
Lamar,Cardinals,LAMAR,Southland,"Beaumont, TX",Montagne Center,2017
Lehigh,Mountain Hawks,LEHI,Patriot,"Bethlehem, PA",Stabler Arena,2017
Liberty,Flames,LBRTY,Big South,"Lynchburg, VA",Liberty Arena,2017
Lipscomb,Bisons,LIP,A-Sun,"Nashville, TN",Allen Arena,2017
Little Rock,Trojans,UALR,Sun Belt,"Little Rock, AR",Jack Stephens Center,2017
Long Beach State,Beach,LBSU,Big West,"Long Beach, CA",Walter Pyramid,2017
Long Island,Sharks,LIU,NEC,"Brooklyn, NY",Steinberg Wellness Center,2017
Longwood,Lancers,LONG,Big South,"Farmville, VA",Joan Perry Brock Center,2017
Louisiana,Ragin' Cajuns,LA,Sun Belt,"Lafayette, LA",Cajundome,2017
Louisiana Tech,Bulldogs,LATCH,C-USA,"Ruston, LA",Thomas Assembly Center,2017
Louisiana-Monroe,Warhawks,ULM,Sun Belt,"Monroe, LA",Fant-Ewing Coliseum,2017
Louisville,Cardinals,LVILL,ACC,"Louisville, KY",KFC Yum! Center,2017
Loyola (IL),Ramblers,L-IL,MVC,"Chicago, IL",Joseph J. Gentile Arena,2017
Loyola (MD),Greyhounds,L-MD,Patriot,"Baltimore, MD",Reitz Arena,2017
Loyola Marymount,Lions,LOYMR,WCC,"Los Angeles, CA",Gersten Pavilion,2017
LSU,Tigers,LSU,SEC,"Baton Rouge, LA",Pete Maravich Assembly Center,2017
Maine,Black Bears,MAINE,AM East,"Bangor, ME",Cross Insurance Center,2017
Manhattan,Jaspers,MAN,MAAC,"Riverdale, NY",Draddy Gymnasium,2017
Marist,Red Foxes,MRST,MAAC,"Poughkeepsie, NY",McCann Arena,2017
Marquette,Golden Eagles,MARQ,Big East,"Milwaukee, WI",Fiserv Forum,2017
Marshall,Thundering Herd,MARSH,C-USA,"Huntington, WV",Cam Henderson Center,2017
Maryland,Terrapins,UMD,Big Ten,"College Park, MD",XFINITY Center,2017
Maryland-Eastern Shore,Hawks,UMES,MEAC,"Princess Anne, MD",Hytche Athletic Center,2017
Massachusetts,Minutemen,UMass,A-10,"Amherst, MA",William D. Mullins Memorial Center,2017
McNeese State,Cowboys,MCNST,Southland,"Lake Charles, LA",Legacy Center,2017
Memphis,Tigers,MEMP,AAC,"Memphis, TN",FedExForum,2017
Mercer,Bears,MER,SoCon,"Macon, GA",Hawkins Arena,2017
Miami (FL),Hurricanes,UMFL,ACC,"Coral Gables, FL",Watsco Center,2017
Miami (OH),RedHawks,MIAMI,MAC,"Oxford, OH",Millett Hall,2017
Michigan,Wolverines,MICH,Big Ten,"Ann Arbor, MI",Crisler Center,2017
Michigan State,Spartans,MCHST,Big Ten,"East Lansing, MI",Breslin Center,2017
Middle Tennessee State,Blue Raiders,MTSU,C-USA,"Murfreesboro, TN",Murphy Center,2017
Milwaukee,Panthers,UWM,Horizon,"Milwaukee, WI",UW-Milwaukee Panther Arena,2017
Minnesota,Golden Gophers,MINN,Big Ten,"Minneapolis, MN",Williams Arena,2017
Mississippi State,Bulldogs,MISST,SEC,"Starkville, MS",Humphrey Coliseum,2017
Mississippi Valley State,Delta Devils,MVSU,SWAC,"Itta Bena, MS",Robert W. Harrison HPER Complex,2017
Missouri,Tigers,MZZOU,SEC,"Columbia, MO",Mizzou Arena,2017
Missouri State,Bears,MZZST,MVC,"Springfield, MO",Great Southern Bank Arena,2017
Monmouth,Hawks,MONM,MAAC,"West Long Branch, NJ",OceanFirst Bank Center,2017
Montana,Grizzlies,MONT,Big Sky,"Missoula, MT",Dahlberg Arena,2017
Montana State,Fighting Bobcats,MTSTU,Big Sky,"Bozeman, MT",Worthington Arena,2017
Morehead State,Eagles,MRHD,OVC,"Morehead, KY",Ellis T. Johnson Arena,2017
Morgan State,Bears,MORST,MEAC,"Baltimore, MD",Talmadge L. Hill Field House,2017
Mount St. Mary's,Mountaineers,MSMU,NEC,"Emmitsburg, MD",Knott Arena,2017
Murray State,Racers,MRRY,OVC,"Murray, KY",CFSB Center,2017
N.J.I.T.,Highlanders,NJIT,A-Sun,"Newark, NJ",NJIT Wellness and Events Center,2017
Navy,Midshipmen,USNA,Patriot,"Annapolis, MD",Alumni Hall (Navy),2017
NC State,Wolfpack,NCST,ACC,"Raleigh, NC",PNC Arena,2017
Nebraska,Cornhuskers,UNL,Big Ten,"Lincoln, NE",Pinnacle Bank Arena,2017
Nevada,Wolf Pack,UNR,MWC,"Reno, NV",Lawlor Events Center,2017
New Hampshire,Wildcats,NEWHA,AM East,"Durham, NH",Lundholm Gymnasium,2017
New Mexico,Lobos,UNM,MWC,"Albuquerque, NM",The Pit,2017
New Mexico State,Aggies,NMSU,WAC,"Las Cruces, NM",Pan American Center,2017
New Orleans,Privateers,NEWOR,Southland,"New Orleans, LA",Lakefront Arena,2017
Niagara,Purple Eagles,NIAG,MAAC,"Niagara Falls, NY",Gallagher Center,2017
Nicholls State,Colonels,NICH,Southland,"Thibodaux, LA",David R. Stopher Gymnasium,2017
Norfolk State,Spartans,NORF,MEAC,"Norfolk, VA",Joseph G. Echols Hall,2017
North Carolina,Tar Heels,UNC,ACC,"Chapel Hill, NC",Dean E. Smith Center,2017
North Carolina A&T,Aggies,NC A&T,MEAC,"Greensboro, NC",Corbett Sports Center,2017
North Carolina Central,Eagles,NCCU,MEAC,"Durham, NC",McDougald-McLendon Arena,2017
North Dakota,Fighting Hawks,UND,Big Sky,"Grand Forks, ND",Betty Engelstad Sioux Center,2017
North Dakota State,Bison,NDSU,Summit,"Fargo, ND",Scheels Center,2017
North Florida,Ospreys,UNF,A-Sun,"Jacksonville, FL",UNF Arena,2017
North Texas,Mean Green,UNT,C-USA,"Denton, TX",The Super Pit,2017
Northeastern,Huskies,NEU,CAA,"Boston, MA",Matthews Arena,2017
Northern Arizona,Lumberjacks,NAU,Big Sky,"Flagstaff, AZ",J. Lawrence Walkup Skydome,2017
Northern Colorado,Bears,NOCOL,Big Sky,"Greeley, CO",Bank of Colorado Arena,2017
Northern Illinois,Huskies,NIU,MAC,"DeKalb, IL",NIU Convocation Center,2017
Northern Iowa,Panthers,UNI,MVC,"Cedar Falls, IA",McLeod Center,2017
Northern Kentucky,Norse,NKU,Horizon,"Highland Heights, KY",Truist Arena,2017
Northwestern,Wildcats,NWU,Big Ten,"Evanston, IL",Welsh-Ryan Arena,2017
Northwestern State,Demons,NSU,Southland,"Natchitoches, LA",Prather Coliseum,2017
Notre Dame,Fighting Irish,ND,ACC,"South Bend, IN",Purcell Pavilion,2017
Oakland,Golden Grizzlies,OAKL,Horizon,"Rochester, MI",OU Credit Union O'rena,2017
Ohio,Bobcats,OHIO,MAC,"Athens, OH",Convocation Center (OH),2017
Ohio State,Buckeyes,OSU,Big Ten,"Columbus, OH",Value City Arena,2017
Oklahoma,Sooners,OKLA,Big 12,"Norman, OK",Lloyd Noble Center,2017
Oklahoma State,Cowboys,OKST,Big 12,"Stillwater, OK",Gallagher-Iba Arena,2017
Old Dominion,Monarchs,ODU,C-USA,"Norfolk, VA",Chartway Arena,2017
Ole Miss,Rebels,MISS,SEC,"Oxford, MS",The Sandy and John Black Pavilion at Ole Miss,2017
Omaha,Mavericks,OMAHA,Summit,"Omaha, NE",Baxter Arena,2017
Oral Roberts,Golden Eagles,ORU,Summit,"Tulsa, OK",Mabee Center,2017
Oregon,Ducks,OREG,Pac-12,"Eugene, OR",Matthew Knight Arena,2017
Oregon State,Beavers,ORST,Pac-12,"Corvallis, OR",Gill Coliseum,2017
Pacific,Tigers,PACI,WCC,"Stockton, CA",Alex G. Spanos Center,2017
Penn State,Nittany Lions,PENST,Big Ten,"University Park, PA",Bryce Jordan Center,2017
Pennsylvania,Quakers,PENN,Ivy,"Philadelphia, PA",The Palestra,2017
Pepperdine,Waves,PEPP,WCC,"Malibu, CA",Firestone Fieldhouse,2017
Pittsburgh,Panthers,PITT,ACC,"Pittsburgh, PA",Petersen Events Center,2017
Portland,Pilots,UP,WCC,"Portland, OR",Chiles Center,2017
Portland State,Vikings,PORTL,Big Sky,"Portland, OR",Viking Pavilion,2017
Prairie View A&M,Panthers,PVAMU,SWAC,"Prairie View, TX",William Nicks Building,2017
Presbyterian,Blue Hose,PRSBY,Big South,"Clinton, SC",Ross E. Templeton P.E. Center,2017
Princeton,Tigers,PRIN,Ivy,"Princeton, NJ",Jadwin Gymnasium,2017
Providence,Friars,PROV,Big East,"Providence, RI",Amica Mutual Pavilion,2017
Purdue,Boilermakers,PURD,Big Ten,"West Lafayette, IN",Mackey Arena,2017
Quinnipiac,Bobcats,QUIN,MAAC,"Hamden, CT",M&T Bank Arena,2017
Radford,Highlanders,RADF,Big South,"Radford, VA",Donald N. Dedmon Center,2017
Rhode Island,Rams,URI,A-10,"Kingston, RI",Ryan Center,2017
Rice,Owls,RICE,C-USA,"Houston, TX",Tudor Fieldhouse,2017
Richmond,Spiders,RICH,A-10,"Richmond, VA",Robins Center,2017
Rider,Broncs,RIDER,MAAC,"Lawrenceville, NJ",Alumni Gymnasium (Rider),2017
Robert Morris,Colonials,RMU,NEC,"Moon Township, PA",UPMC Events Center,2017
Rutgers,Scarlet Knights,RUTG,Big Ten,"Piscataway, NJ",Jersey Mike's Arena,2017
Sacramento State,Hornets,CSUS,Big Sky,"Sacramento, CA",The Nest,2017
Sacred Heart,Pioneers,HEART,NEC,"Fairfield, CT",William H. Pitt Center,2017
Saint Joseph's,Hawks,STJOE,A-10,"Philadelphia, PA",Michael J. Hagan '85 Arena,2017
Saint Louis,Billikens,STLOU,A-10,"St. Louis, MO",Chaifetz Arena,2017
Saint Mary's,Gaels,STMRY,WCC,"Moraga, CA",University Credit Union Pavilion,2017
Saint Peter's,Peacocks,STPC,MAAC,"Jersey City, NJ",Run Baby Run Arena,2017
Sam Houston State,Bearkats,SHSU,Southland,"Huntsville, TX",Bernard G. Johnson Coliseum,2017
Samford,Bulldogs,SAMF,SoCon,"Homewood, AL",Pete Hanna Center,2017
San Diego,Toreros,SAND,WCC,"San Diego, CA",Jenny Craig Pavilion,2017
San Diego State,Aztecs,SDSU,MWC,"San Diego, CA",Viejas Arena,2017
San Francisco,Dons,SANFR,WCC,"San Francisco, CA",War Memorial at the Sobrato Center,2017
San Jose State,Spartans,SJSU,MWC,"San Jose, CA",Provident Credit Union Event Center,2017
Santa Clara,Broncos,SCU,WCC,"Santa Clara, CA",Leavey Center,2017
Savannah State,Tigers,SST,MEAC,"Savannah, GA",Tiger Arena,2017
Seattle,Redhawks,SEA,WAC,"Seattle, WA",Redhawk Center,2017
Seton Hall,Pirates,SETON,Big East,"Newark, NJ",Prudential Center,2017
Siena,Saints,SIENA,MAAC,"Albany, NY",MVP Arena,2017
SIU-Edwardsville,Cougars,SIUE,OVC,"Edwardsville, IL",First Community Arena at the Vadalabene Center,2017
South Alabama,Jaguars,USA,Sun Belt,"Mobile, AL",Mitchell Center,2017
South Carolina,Gamecocks,SOCAR,SEC,"Columbia, SC",Colonial Life Arena,2017
South Carolina State,Bulldogs,SCSU,MEAC,"Orangeburg, SC",Smith-Hammond-Middleton Memorial Center,2017
South Dakota,Coyotes,SODAK,Summit,"Vermillion, SD",Sanford Coyote Sports Center,2017
South Dakota State,Jackrabbits,SDKSU,Summit,"Brookings, SD",Frost Arena,2017
South Florida,Bulls,USOFL,AAC,"Tampa, FL",Yuengling Center,2017
Southeast Missouri State,Redhawks,SEMO,OVC,"Cape Girardeau, MO",Show Me Center,2017
Southeastern Louisiana,Lions,SELU,Southland,"Hammond, LA",University Center (LA),2017
Southern,Jaguars,SUBR,SWAC,"Baton Rouge, LA",F.G. Clark Activity Center,2017
Southern Illinois,Salukis,SOILL,MVC,"Carbondale, IL",Banterra Center,2017
Southern Methodist,Mustangs,SMU,AAC,"Dallas, TX",Moody Coliseum,2017
Southern Mississippi,Golden Eagles,SOMIS,C-USA,"Hattiesburg, MS",Reed Green Coliseum,2017
Southern Utah,Thunderbirds,SUU,Big Sky,"Cedar City, UT",America First Events Center,2017
St. Bonaventure,Bonnies,STBN,A-10,"Saint Bonaventure, NY",Reilly Center,2017
St. Francis (NY),Terriers,SFC,NEC,"Brooklyn, NY",Pope Physical Education Center,2017
St. Francis (PA),Red Flash,STFPA,NEC,"Loretto, PA",DeGol Arena,2017
St. John's,Red Storm,STJ,Big East,"Queens, NY",Carnesecca Arena,2017
Stanford,Cardinal,STAN,Pac-12,"Stanford, CA",Maples Pavilion,2017
Stephen F. Austin,Lumberjacks,SFA,Southland,"Nacogdoches, TX",William R. Johnson Coliseum,2017
Stetson,Hatters,STET,A-Sun,"DeLand, FL",Edmunds Center,2017
Stony Brook,Seawolves,SB,AM East,"Stony Brook, NY",Island FCU Arena,2017
Syracuse,Orange,SYRA,ACC,"Syracuse, NY",JMA Wireless Dome,2017
TCU,Horned Frogs,TCU,Big 12,"Fort Worth, TX",Ed and Rae Schollmaier Arena,2017
Temple,Owls,TEM,AAC,"Philadelphia, PA",Liacouras Center,2017
Tennessee,Volunteers,TENN,SEC,"Knoxville, TN",Thompson-Boling Arena,2017
Tennessee State,Tigers,TNST,OVC,"Nashville, TN",Gentry Center,2017
Tennessee Tech,Golden Eagles,TNTCH,OVC,"Cookeville, TN",Hooper Eblen Center,2017
Tennessee-Martin,Skyhawks,UTM,OVC,"Martin, TN",Kathleen and Tom Elam Center,2017
Texas,Longhorns,TEXAS,Big 12,"Austin, TX",Moody Center,2017
Texas A&M,Aggies,TAMU,SEC,"College Station, TX",Reed Arena,2017
Texas A&M-CC,Islanders,TAMU-CC,Southland,"Corpus Christi, TX",American Bank Center,2017
Texas Southern,Tigers,TEXSO,SWAC,"Houston, TX",H&PE Arena,2017
Texas State,Bobcats,TXST,Sun Belt,"San Marcos, TX",Strahan Arena at the University Events Center,2017
Texas Tech,Red Raiders,TXTCH,Big 12,"Lubbock, TX",United Supermarkets Arena,2017
Texas-Arlington,Mavericks,UTA,Sun Belt,"Arlington, TX",College Park Center,2017
Texas-RGV,Vaqueros,UTRGV,WAC,"Edinburg, TX",UTRGV Fieldhouse,2017
Texas-San Antonio,Roadrunners,UTSA,C-USA,"San Antonio, TX",UTSA Convocation Center,2017
The Citadel,Bulldogs,CTDL,SoCon,"Charleston, SC",McAlister Field House,2017
Toledo,Rockets,U of T,MAC,"Toledo, OH",Savage Arena,2017
Towson,Tigers,TOWS,CAA,"Towson, MD",SECU Arena,2017
Troy,Trojans,TROY,Sun Belt,"Troy, AL",Trojan Arena,2017
Tulane,Green Wave,TULAN,AAC,"New Orleans, LA",Avron B. Fogelman Arena in the Devlin Fieldhouse,2017
Tulsa,Golden Hurricane,TULSA,AAC,"Tulsa, OK",Donald W. Reynolds Center,2017
UAB,Blazers,UAB,C-USA,"Birmingham, AL",Bartow Arena,2017
UC Davis,Aggies,UCD,Big West,"Davis, CA",University Credit Union Center,2017
UC Irvine,Anteaters,UCI,Big West,"Irvine, CA",Bren Events Center,2017
UC Riverside,Highlanders,UCR,Big West,"Riverside, CA",SRC Arena,2017
UC Santa Barbara,Gauchos,UCSB,Big West,"Santa Barbara, CA",The Thunderdome,2017
UCF,Knights,UCF,AAC,"Orlando, FL",Addition Financial Arena,2017
UCLA,Bruins,UCLA,Pac-12,"Los Angeles, CA",Pauley Pavilion,2017
UConn,Huskies,UConn,AAC,"Storrs, CT",Harry A. Gampel Pavilion,2017
UMass Lowell,River Hawks,UML,AM East,"Lowell, MA",Costello Athletic Center,2017
UMBC,Retrievers,UMBC,AM East,"Baltimore, MD",Chesapeake Employers Insurance Arena,2017
UMKC,Kangaroos,UMKC,WAC,"Kansas City, MO",Swinney Recreation Center,2017
UNC Asheville,Bulldogs,UNCA,Big South,"Asheville, NC",Kimmel Arena,2017
UNC Greensboro,Spartans,UNCG,SoCon,"Greensboro, NC",Greensboro Coliseum Fieldhouse,2017
UNC Wilmington,Seahawks,UNCW,CAA,"Wilmington, NC",Trask Coliseum,2017
UNLV,Runnin' Rebels,UNLV,MWC,"Las Vegas, NV",Thomas & Mack Center,2017
USC,Trojans,USC,Pac-12,"Los Angeles, CA",Galen Center,2017
USC Upstate,Spartans,USCU,A-Sun,"Spartanburg, SC",G.B. Hodge Center,2017
Utah,Utes,U of U,Pac-12,"Salt Lake City, UT",Jon M. Huntsman Center,2017
Utah State,Aggies,USU,MWC,"Logan, UT",Dee Glen Smith Spectrum,2017
Utah Valley,Wolverines,UVU,WAC,"Orem, UT",UCCU Center,2017
UTEP,Miners,UTEP,C-USA,"El Paso, TX",Don Haskins Center,2017
Valparaiso,Beacons,VAL,Horizon,"Valparaiso, IN",Athletics-Recreation Center,2017
Vanderbilt,Commodores,VANDY,SEC,"Nashville, TN",Memorial Gymnasium (TN),2017
VCU,Rams,VCU,A-10,"Richmond, VA",Stuart C. Siegel Center,2017
Vermont,Catamounts,UVM,AM East,"Burlington, VT",Patrick Gymnasium,2017
Villanova,Wildcats,VILL,Big East,"Villanova, PA",Finneran Pavilion,2017
Virginia,Cavaliers,UVA,ACC,"Charlottesville, VA",John Paul Jones Arena,2017
Virginia Military,Keydets,VMI,SoCon,"Lexington, VA",Cameron Hall,2017
Virginia Tech,Hokies,VT,ACC,"Blacksburg, VA",Cassell Coliseum,2017
Wagner,Seahawks,WAGNR,NEC,"Staten Island, NY",Spiro Sports Center,2017
Wake Forest,Demon Deacons,WF,ACC,"Winston-Salem, NC",Lawrence Joel Veterans Memorial Coliseum,2017
Washington,Huskies,UWASH,Pac-12,"Seattle, WA",Alaska Airlines Arena at Hec Edmundson Pavilion,2017
Washington State,Cougars,WSU,Pac-12,"Pullman, WA",Friel Court at Beasley Coliseum,2017
Weber State,Wildcats,WEBER,Big Sky,"Ogden, UT",Dee Events Center,2017
West Virginia,Mountaineers,WVU,Big 12,"Morgantown, WV",WVU Coliseum,2017
Western Carolina,Catamounts,WCU,SoCon,"Cullowhee, NC",Ramsey Regional Activity Center,2017
Western Illinois,Leathernecks,WIU,Summit,"Macomb, IL",LeRoy A. Ufkes Court at Western Hall,2017
Western Kentucky,Hilltoppers,WKU,C-USA,"Bowling Green, KY",E. A. Diddle Arena,2017
Western Michigan,Broncos,WMY,MAC,"Kalamazoo, MI",University Arena (MI),2017
Wichita State,Shockers,WICHI,MVC,"Wichita, KS",Charles Koch Arena,2017
William & Mary,Tribe,W&M,CAA,"Williamsburg, VA",Kaplan Arena,2017
Winthrop,Eagles,WIN,Big South,"Rock Hill, SC",Winthrop Coliseum,2017
Wisconsin,Badgers,UWISC,Big Ten,"Madison, WI",Kohl Center,2017
Wofford,Terriers,WOFF,SoCon,"Spartanburg, SC",Jerry Richardson Indoor Stadium,2017
Wright State,Raiders,WRST,Horizon,"Dayton, OH",Nutter Center,2017
Wyoming,Cowboys,UWYOM,MWC,"Laramie, WY",Arena Auditorium,2017
Xavier,Musketeers,XAV,Big East,"Cincinnati, OH",Cintas Center,2017
Yale,Bulldogs,YALE,Ivy,"New Haven, CT",John J. Lee Amphitheater,2017
Youngstown State,Penguins,YSU,Horizon,"Youngstown, OH",Beeghly Center,2017
Abilene Christian,Wildcats,ACU,Southland,"Abilene, TX",Moody Coliseum (Abilene),2016
Air Force,Falcons,AF,MWC,"Colorado Springs, CO",Clune Arena,2016
Akron,Zips,AKR,MAC,"Akron, OH",James A. Rhodes Arena,2016
Alabama,Crimson Tide,UA,SEC,"Tuscaloosa, AL",Coleman Coliseum,2016
Alabama A&M,Bulldogs,AAMU,SWAC,"Huntsville, AL",Event Center,2016
Alabama State,Hornets,ALAST,SWAC,"Montgomery, AL",Dunn-Oliver Acadome,2016
Albany,Great Danes,ALBNY,AM East,"Albany, NY",Broadview Center,2016
Alcorn State,Braves,ALCST,SWAC,"Lorman, MS",Davey L. Whitney Complex,2016
American University,Eagles,AMERU,Patriot,"Washington, DC",Bender Arena,2016
Appalachian State,Mountaineers,APPST,Sun Belt,"Boone, NC",George M. Holmes Convocation Center,2016
Arizona,Wildcats,ARZ,Pac-12,"Tucson, AZ",McKale Center,2016
Arizona State,Sun Devils,ASU,Pac-12,"Tempe, AZ",Desert Financial Arena,2016
Arkansas,Razorbacks,ARK,SEC,"Fayetteville, AR",Bud Walton Arena,2016
Arkansas State,Red Wolves,ARKST,Sun Belt,"Jonesboro, AR",First National Bank Arena,2016
Arkansas-Pine Bluff,Golden Lions,UAPB,SWAC,"Pine Bluff, AR",H.O. Clemmons Arena,2016
Army West Point,Black Knights,USMA,Patriot,"West Point, NY",Christl Arena,2016
Auburn,Tigers,AUB,SEC,"Auburn, AL",Neville Arena,2016
Austin Peay,Governors,APSU,OVC,"Clarksville, TN",F&M Bank Arena,2016
Ball State,Cardinals,BLLST,MAC,"Muncie, IN",John E. Worthen Arena,2016
Baylor,Bears,BAYL,Big 12,"Waco, TX",Foster Pavilion,2016
Belmont,Bruins,BLMNT,OVC,"Nashville, TN",Curb Event Center Arena,2016
Bethune-Cookman,Wildcats,BTHCK,MEAC,"Daytona Beach, FL",Moore Gymnasium (FL),2016
Binghamton,Bearcats,BNGH,AM East,"Binghamton, NY",Events Center (Binghamton),2016
Boise State,Broncos,BOISE,MWC,"Boise, ID",ExtraMile Arena,2016
Boston College,Eagles,BOS,ACC,"Chestnut Hill, MA",Silvio O. Conte Forum,2016
Boston University,Terriers,BSTN,Patriot,"Boston, MA",Case Gym,2016
Bowling Green,Falcons,BGSU,MAC,"Bowling Green, OH",Stroh Center,2016
Bradley,Braves,BRDLY,MVC,"Peoria, IL",Carver Arena,2016
Brigham Young,Cougars,BYU,WCC,"Provo, UT",Marriott Center,2016
Brown,Bears,BRWN,Ivy,"Providence, RI",Pizzitola Sports Center,2016
Bryant,Bulldogs,BRYNT,NEC,"Smithfield, RI",Chace Athletic Center,2016
Bucknell,Bison,BUCK,Patriot,"Lewisburg, PA",Sojka Pavilion,2016
Buffalo,Bulls,BUFF,MAC,"Buffalo, NY",Alumni Arena,2016
Butler,Bulldogs,BTLR,Big East,"Indianapolis, IN",Hinkle Fieldhouse,2016
Cal Poly,Mustangs,POLY,Big West,"San Luis Obispo, CA",Robert A. Mott Athletics Center,2016
Cal State Bakersfield,Roadrunners,CSUB,WAC,"Bakersfield, CA",Icardo Center,2016
Cal State Fullerton,Titans,CSFUL,Big West,"Fullerton, CA",Titan Gym,2016
Cal State Northridge,Matadors,CSUN,Big West,"Northridge, CA",Premier America Credit Union Arena,2016
California,Golden Bears,Cal,Pac-12,"Berkeley, CA",Haas Pavilion,2016
Campbell,Fighting Camels,CAM,Big South,"Buies Creek, NC",John W. Pope Jr. Convocation Center,2016
Canisius,Golden Griffins,CAN,MAAC,"Buffalo, NY",Koessler Athletic Center,2016
Central Arkansas,Bears,UCA,Southland,"Conway, AR",Farris Center,2016
Central Connecticut State,Blue Devils,CCSU,NEC,"New Britain, CT",William H. Detrick Gymnasium,2016
Central Michigan,Chippewas,CMU,MAC,"Mount Pleasant, MI",McGuirk Arena,2016
Charleston,Cougars,C of C,CAA,"Charleston, SC",TD Arena,2016
Charleston Southern,Buccaneers,CHASO,Big South,"Charleston, SC",Buccaneer Fieldhouse,2016
Charlotte,49ers,CHAR,C-USA,"Charlotte, NC",Dale F. Halton Arena,2016
Chattanooga,Mocs,CHATT,SoCon,"Chattanooga, TN",McKenzie Arena,2016
Chicago State,Cougars,CHIST,WAC,"Chicago, IL",Emil and Patricia Jones Convocation Center,2016
Cincinnati,Bearcats,CINCY,AAC,"Cincinnati, OH",Fifth Third Arena,2016
Clemson,Tigers,CLEM,ACC,"Clemson, SC",Littlejohn Coliseum,2016
Cleveland State,Vikings,CLEST,Horizon,"Cleveland, OH",Wolstein Center,2016
