Team,nickname,abbrev,conference,location,home_venue,season
Nevada,Wolf Pack,UNR,MWC,"Reno, NV",Lawlor Events Center,2024
New Hampshire,Wildcats,NEWHA,AM East,"Durham, NH",Lundholm Gymnasium,2024
New Mexico,Lobos,UNM,MWC,"Albuquerque, NM",The Pit,2024
New Mexico State,Aggies,NMSU,C-USA,"Las Cruces, NM",Pan American Center,2024
New Orleans,Privateers,NEWOR,Southland,"New Orleans, LA",Lakefront Arena,2024
Niagara,Purple Eagles,NIAG,MAAC,"Niagara Falls, NY",Gallagher Center,2024
Nicholls State,Colonels,NICH,Southland,"Thibodaux, LA",David R. Stopher Gymnasium,2024
Norfolk State,Spartans,NORF,MEAC,"Norfolk, VA",Joseph G. Echols Hall,2024
North Alabama,Lions,UNA,A-Sun,"Florence, AL",Flowers Hall,2024
North Carolina,Tar Heels,UNC,ACC,"Chapel Hill, NC",Dean E. Smith Center,2024
North Carolina A&T,Aggies,NC A&T,CAA,"Greensboro, NC",Corbett Sports Center,2024
North Carolina Central,Eagles,NCCU,MEAC,"Durham, NC",McDougald-McLendon Arena,2024
North Dakota,Fighting Hawks,UND,Summit,"Grand Forks, ND",Betty Engelstad Sioux Center,2024
North Dakota State,Bison,NDSU,Summit,"Fargo, ND",Scheels Center,2024
North Florida,Ospreys,UNF,A-Sun,"Jacksonville, FL",UNF Arena,2024
North Texas,Mean Green,UNT,AAC,"Denton, TX",The Super Pit,2024
Northeastern,Huskies,NEU,CAA,"Boston, MA",Matthews Arena,2024
Northern Arizona,Lumberjacks,NAU,Big Sky,"Flagstaff, AZ",J. Lawrence Walkup Skydome,2024
Northern Colorado,Bears,NOCOL,Big Sky,"Greeley, CO",Bank of Colorado Arena,2024
Northern Illinois,Huskies,NIU,MAC,"DeKalb, IL",NIU Convocation Center,2024
Northern Iowa,Panthers,UNI,MVC,"Cedar Falls, IA",McLeod Center,2024
Northern Kentucky,Norse,NKU,Horizon,"Highland Heights, KY",Truist Arena,2024
Northwestern,Wildcats,NWU,Big Ten,"Evanston, IL",Welsh-Ryan Arena,2024
Northwestern State,Demons,NSU,Southland,"Natchitoches, LA",Prather Coliseum,2024
Notre Dame,Fighting Irish,ND,ACC,"South Bend, IN",Purcell Pavilion,2024
Oakland,Golden Grizzlies,OAKL,Horizon,"Rochester, MI",OU Credit Union O'rena,2024
Ohio,Bobcats,OHIO,MAC,"Athens, OH",Convocation Center (OH),2024
Ohio State,Buckeyes,OSU,Big Ten,"Columbus, OH",Value City Arena,2024
Oklahoma,Sooners,OKLA,Big 12,"Norman, OK",Lloyd Noble Center,2024
Oklahoma State,Cowboys,OKST,Big 12,"Stillwater, OK",Gallagher-Iba Arena,2024
Old Dominion,Monarchs,ODU,Sun Belt,"Norfolk, VA",Chartway Arena,2024
Ole Miss,Rebels,MISS,SEC,"Oxford, MS",The Sandy and John Black Pavilion at Ole Miss,2024
Omaha,Mavericks,OMAHA,Summit,"Omaha, NE",Baxter Arena,2024
Oral Roberts,Golden Eagles,ORU,Summit,"Tulsa, OK",Mabee Center,2024
Oregon,Ducks,OREG,Pac-12,"Eugene, OR",Matthew Knight Arena,2024
Oregon State,Beavers,ORST,Pac-12,"Corvallis, OR",Gill Coliseum,2024
Pacific,Tigers,PACI,WCC,"Stockton, CA",Alex G. Spanos Center,2024
Penn State,Nittany Lions,PENST,Big Ten,"University Park, PA",Bryce Jordan Center,2024
Pennsylvania,Quakers,PENN,Ivy,"Philadelphia, PA",The Palestra,2024
Pepperdine,Waves,PEPP,WCC,"Malibu, CA",Firestone Fieldhouse,2024
